Cumle;Sinif
Yüzü huzurlu gibiydi.;2
Yüzü gerçek bir korkuyla doluydu.;2
Artık yüzünde yaşlar vardı.;2
Ter kaplı yüzü parlıyordu.;2
Yüz ifadesi yine sakindi.;2
Kanlı yüzüne dokunup parmaklarına baktı.;2
Mustarip bir yüz ifadesiyle kalakaldı.;2
Bast’ın yüzü kül gibi oldu.;2
Bast’ın yüzü yılgıyla doluydu.;2
Kafasını kaldırdığında yüzündeki ifade kederliydi.;2
Scraeller yüzünden hala yaralısın.;6
Yüzüne yoğun bir konsantrasyon hakimdi.;2
Yüz ifadem Stapes’in gözünden kaçmadı.;2
Yüzünde düşünceli bir ifade belirdi.;2
Maer’in yüzü düşüncelerle doluydu.;2
Maer’in yüzü asıldı.;2
Alveron bir eliyle yüzünü sıvazladı.;2
Yüzü biraz solmuştu.;2
Yüzü artık kül gibiydi.;2
Yüzünü ekşitti.;2
Basil özür dilercesine yüzünü ekşitti.;2
Karmaşıklığı yüzünden.;6
Diğer eliyle yüzünü yelledi.;2
Simmon’un yüzü asıldı.;2
Elodin’in yüzü kül gibi oldu.;2
Yüz ifadesinde umudun zerresi yoktu.;2
Reshi’yi bu yüzden bıraktı.;6
Yüzündeki keyifli ifade kaybolmuştu.;2
Yüzünde tebessümden eser yoktu.;2
O zaman yüzü asıldı.;2
Yüzünü, elini ve ayağını yıkadı.;2
Yüzünü, ellerini ve.;2
Ufacık olan yüzü asıktı.;2
Yüzünü ve ayaklarını da duruladı.;2
Yüzünü ve ayaklarını da.;2
Yüzünü duruladı.;2
O yüzden Hudut’a girdi.;6
Genç kız yüzünü yıkadı.;2
Yüzünü, elini ve ayağını yıkadı.;2
Bu yüz yüze ilk görüşmemizdi.;2
Allanon’un esmer yüzü gerildi.;2
Yakışıklı yüzü havanın soğuğundan gerilmişti.;2
O yüzden uçmakı hatırlamıyorum.;6
Yüzebiliyor musun?;4
Sonra sıra yüzme işlemine geldi.;4
O yüzden çocukları canavar olmuş.;6
Yüzünü daha sonra ekşitirdi.;2
Bu yüzden Yeowe’yi kaybettik!;6
Yüz yıldır bebek görmemiştim.;1
Yüzünde binlerce kırışıklıkla gülümsedi.;2
O yüzden düşündü.;6
Yüzü hala endişeliydi.;2
Yüzünü kollarıyla kapattı.;2
Melekler yüzlerini saklayarak diz çöktüler.;2
Hiçbir şey yüzmez.;4
Serbestçe yüzüyor.;4
Hsing’in yüzü kıpkırmızı kesildi.;2
Hiroşi’nin yüzü gergindi.;2
O yüzden ısrar etti.;6
O yüzden sana geldim.;6
Hsing yüzünü buruşturdu.;2
Bu yüzden kendinden veriyordu.;6
Yüzündeki bütün gülümseme kaybolmuştu.;2
O, saatlerdir yüzüyor.;4
Düşüşleri, taşa tutunuşları bu yüzdendir.;6
Üç yüz on yedi kulaç!;1
Saf yüzleri iki sevinçli şaşkınlıktı.;2
Lokanta-han sahibinin yüzü göründü.;2
Mum yüzünü aydınlatıyordu.;2
Ve ananın solgun yüzü parlıyordu.;2
Yalan, şeytanın yüzüdür.;2
İki yüzlü haysiyetsizliğinin son kertesiydi!;2
Bu adamların yüzleri toprak rengindeydi.;2
Yüzünün kızarması kısa sürdü.;2
Bu yüzden yemin edemezsiniz.;6
Zabıt katibinin lambası yüzünü aydınlatmaktaydı.;2
İçine üç yüz ölü attılar.;1
Bu yüzden kazalar olurdu.;6
Wellington yüzünden mi?;6
Blücher yüzünden mi?;6
Hayır, Tanrı yüzünden.;6
Lobau üç yüz kişi topladı.;1
Waterloo’da toplam yüzde kırk bir.;1
Adam tekrar su yüzüne çıkmamıştı.;3
O yüzden yumuşaktır çok!;6
Bu yüzden şaşırırsın.;6
Bu yüz meteliğinizi alın hele.;1
Yüz frank fazla almıştınız.;1
Karanlıkta kalan yüzü seçilemiyordu.;2
Yüzü ışık saçıyor gibiydi.;2
Bu yüzden ölüyordu rahibeler.;6
Elemli ifade kaybolmuştu yüzünden.;2
Marius’un yüz adetlik kartvizitiydi bu.;1
Şenliği bu yüzdendi.;6
Yüzünde sert bir kırmızılık vardı.;2
Marius mavi göklerde yüzüyormuş gibiydi.;4
Vaktiyle talih yüzüme gülmüştü.;2
Yüz metelikliği harcamaya kalkma.;1
Kömürde çalıştıkları için yüzleri karalanmış.;2
Yüz yaşından fazlaydı.;1
Acaba Cosette yüzünden mi?;6
Yoksa Fantine yüzünden mi?;6
Hiç kızmadılar bu yüzden.;6
O peksimet yüzünden mi?;6
Finansörüyle ilişkisi hiç okunmuyordu yüzünden.;2
Hoşnutsuzluğum bu yüzden işte.;6
O yüzden Navet’yi Bossuet’ye yolladı.;6
Böylece beş yüz frank kazanırsınız.;1
Utanılası yüzünü.;2
Tablolardakine benzer bir yüzü vardı.;2
Yüz bin yaşındayım.;1
Hepsi de kendi yüzünden!;6
Yağmurlar yüzünden ırmak suları kabarmıştı.;6
Beş yüz seksen dört mü?;1
Bugün insanlar asık yüzlü.;2
Yüzü nasıldı?;2
Maskeliler yüzünden.;6
Babacığım yüzünüz sapsan.;2
Yüzü morarmıştı.;2
Altı yüz bin frank.;1
İyice yüzüme bakın biraz.;2
Sekiz yüz insan yaşar orada.;1
Beş yüz frank mı?;1
Beş yüz frank da cebindeydi.;1
Yüzü sararıyor, aynı zamanda gülümsüyordu.;2
Bembeyaz yüzü gökyüzüne bakıyordu.;2
Tam oturacağından emin olmak istedim, dedi Denna mustarip bir yüz ifadesiyle.;2
Zaten bu yüzden sana onu güvende tutacak bir şey vermek istedim.;6
Saçları suratının etrafına döküldüğü için Denna’nın yüz ifadesini göremiyordum.;2
Başını iki yana sallarken saçları halen yüzünü gizlemekteydi.;2
Zaten bu yüzden çıplak ellerinden başka bir şey kullanmanı tavsiye ediyorum.;6
Yüzü kızaran Fela başını biraz eğerek uzun saçlarının omuzlarına dökülmesine sebep oldu.;2
Yüzlerinde farklı evrelerde dehşet ve hayret ifadeleri vardı.;2
Yüzü kızaran ve bakışlarını kaçıran Fela’nın duyduklarından hoşlandığı belliydi.;2
Yüzünü ifadesiz tutan Wilem başıyla evetledi.;2
Seninle arkadaş falan değiliz, dedi kabaca, yüzündeki buz gibi ifadeyi koruyarak.;2
Bakışları arkamdaki bir noktaya çevrildi ve yüz ifadesi yumuşadı.;2
Wilem kahkahalara boğuldu, sonra yüzünü örterek Sim’den uzaklaştı.;2
Devi, utanmadan sırıtan Sim’in çocuksu yüzüne baktı, akabinde yine Fela’ya döndü.;2
Gizemiye’de topu topu yüz kadın var, dedi Devi azarlarcasına.;1
Yüzünde hiç de espri yapar gibi bir ifade yoktu.;2
  Sim yüzünü abartılı bir ifadeyle buruşturdu ve ellerini çılgınca salladı.;2
Bu yüzden lavtamı omzuma vurdum ve Denna’yı aramak üzere Imre’ye yollandım.;6
Adam kağıda bir göz attı, yüzünde bir idrak ifadesi belirdi.;2
Bu yüzden arayışıma oradan başlamaya karar verdim.;6
Başlığının altındaki yüzünde heyecan ve kaygının şaşırtıcı bir karışımı mevcuttu.;2
Kıvırcık kahverengi saçları solgun yüzünü çevreliyor, başlığın altından kaçmaya çalışıyordu.;2
Ancak yüzü endişeyle asılınca onu tanıyabildim.;2
Sana anlattıklarım yüzünden onların beni almaya geleceklerini düşündüm.;6
Yüzünü hiç uğraşmadan, gözlerimi bile kapamadan hayalimde canlandırabiliyordum.;2
Yüzünde gururlu bir ifadeyle beni süzdü.;2
Yüzlerce öyküye ve şarkıya konu olmuşlardı.;1
Korkudan yüzü bembeyazmış ve nefes alırken inleyip hırıldıyormuş.;2
O yüzden de aceleyle ağaçların arasına geri gitmiş.;6
Bu yüzden senin açlığını o zavallı kadının hayatına karşı tartacağım.;6
O yüzden güç bela ayağa kalkmış ve ateşi geride bırakmış.;6
O yüzden demiş ki: Çok naziksin, teşekkürler.;6
Ellerini ve yüzünü yıkayınca sonra kendini çok daha canlı hissetmeye başlamış.;2
Sceop ateşin çevresindeki yüzlerin hevesle baktığını görmüş.;2
Yüzünü sıcak basmışmış ve kendini budala gibi hissediyormuş.;2
Sceop etrafındaki yüzlere bakınca Terris’in doğru söylediğini anlamış.;2
Bunların çoğu savaşlar ve vergiler yüzünden evlerini kaybetmiş dilencilermiş.;6
Ruh avı yüz yıl boyunca Atur sosyetesinin en gözde meşgalesiymiş.;1
Nizam üç yüz yıldan daha uzun bir zaman önce lağvedildi, dedi Simmon.;1
Ben en kibar yüz ifademi takınırken Wilem kapıyı çaldı.;2
Cüppesinin başlığı yüzünü gölgeliyor, uzun kolları da esintide savruluyordu.;2
Yüzü düzgün ve kırışıksızdı, fakat saçları bembeyazdı ve tepesi seyrelmişti.;2
Yüzüme yine uzun uzun ve dikkatle baktı, ardından tahtayı yontmaya koyuldu.;2
Bazen bu çatlakların ufak belirtileri olur: yüz tikleri, kekeleme gibi.;2
Kukla yüzümü yeniden inceledi ve ince bir tahta şerit daha yonttu.;2
Bu onun düşünürkenki yüz ifadesi, Kukla.;2
Önce ellerindeki tahta parçasına, sonra da yüzüme baktı.;2
Düşünceli bir ifadeye bürünmüş yüz batlarım biblodan bana bakıyordu.;2
Bıraksan yüz yıl daha böyle bakar, ama önündekileri görebilir mi?;1
Yine de kendi yüz ifadem düşüncelerimi ele vermiş olmalıydı.;2
Ben kapağı açarken Sim farkında bile olmadan yüzünü ekşitti.;2
Simmon’un yüz ifadesinde bir değişiklik fark ettim.;2
Dirseklerini masadan kaldırmaksızın omuz silken Devi’nin yüzünde büyük bir kayıtsızlık ifadesi vardı.;2
Soğukkanlılığını korumaya çalıştıysa da suçluluk duyduğu yüzünden anlaşılıyordu.;2
Ciğerlerim yüzünden yataklara düşmeden bütün bir kışı geçirebileceğim gibi geliyor.;6
Yukarıdaki Maksadıyna sözcüğünü bu yüzden yanlış yazdım.;6
Gözleri onunla taş arasında gidip gelirken yüzü mustarip ve solgundu.;2
Hayır hayır hayır, dedi, dikkatini çekmek için parmaklarını Fela’nın yüzü önünde şıklatarak.;2
Fela öfkeli bir yüzle ona doğru döndü.;2
İşte bu yüzden Kilvin’in bürosunun kapısını çalarken içim hiç de rahat değildi.;6
O yüzden ufak da olsa bir gösteri yapma fırsatını geri tepemezdim.;6
Yüz farklı isim düşünmüştüm, fakat hiçbiri uygun gözükmemişti.;1
Ona öyle bir ad takmaya kalksaydım Kilvin’in yüzüne bir daha asla bakamazdım.;2
  Yaklaşık yüz saat, cevabını verdim.;1
İşte bu yüzden Ambrose’un suçlamalarla yakından uzaktan bir ilgisi yoktu.;6
Tarihçi’nin yüzündeki asabiyet yerini mahcup bir ifadeye bıraktı.;2
Barı işaret ederken yüz ifadesi ağlamaklıydı.;2
Yanında ekşi yüzlü, sıska bir kadın duruyordu.;2
Geçen gece de söyledim, gerekirse yüz kere daha söyleyeceğim.;1
Bir lokma daha aldı ve yaşlı yüzüne mutlu bir ifade yayıldı.;2
Şimdi bu Tarihçi var ya, uzun boylu ve solgun yüzlü bir adammış.;2
Yüzünde dehşete benzer bir ifade beliren Tarihçi’nin bakışları ikisi arasında gidip geldi.;2
Ah, son üç yüz yılda yaşamış her tarihçi onlardan bahsetmiş, dedim.;1
Eksi ikinci katta yüz farklı şehirden toplanmış bin yıllık mahkeme kayıtları duruyor.;1
Yüz ifadesine bakınca onun desteğini kazanacağım yerde kaybetmekte olduğumu görebiliyordum.;2
Zaten Arşiv’i bu yüzden didik didik ediyordum.;6
‘Ama ben yüzme bilmem ki,’ demiş gizemci.;4
Kendinden hoşnut bir yüz ifadesiyle bana bakarken beklentili bir sessizlik yaşandı.;2
Sonra yüzündeki şaşkın ifadeyi görünce izah ettim.;2
Bu yüzden tanışık olduğumuzu söylemek daha doğru.;6
O yüzden vahşi, eğitimsiz diyarlara giderlerdi.;6
Gelen adam siyah saçlı, ekşi yüzlü biriydi.;2
Bin beş yüz kilometreden daha uzağa.;1
Hiçbir şey söylemeyen Devi’nin şirin yüzüne haşin bir ifade hakimdi.;2
Ben de kendi haşin yüz ifademe bürünerek gözlerinin içine baktım.;2
‘Ufaktır bir somun ekmeğin bedeli, o yüzden herkes sahiptir somuna.;6
Daha evvelden Taşköprü’de Elodin’le benim yanımızdan geçen o ekşi yüzlü adamdı.;2
Oraya giderken dikkatli ol, dedi kaygılı bir yüz ifadesiyle.;2
Bu yüzden üzerlerinde hak iddia edemezdim.;6
O yüzden dişimi sıktım ve sahip olduğum yegane seçeneği değerlendirdim.;6
Yüz ifademi sert, hatta neredeyse öfkeli tutmayı ihmal etmedim.;2
Ama-  En kibirli bakışımı baronetin yüzüne diktim.;2
Yüzündeki yorgun çizgileri, ellerindeki belli belirsiz titremeyi, duruşunu değerlendirdim.;2
Alveron’un yüzünde hınzır bir ifade belirdi.;2
Lakin ben aradaki farklı biliyorum ve bu yüzden kontrol daima bende.;6
Beni göz ucuyla süzerken yüzündeki ifade biraz kibirliydi.;2
Utançtan yüzüm kızardı, fakat özür dilememe fırsat bırakmadan elini sallayarak beni susturdu.;2
Babası ‘münasebetsiz’ bir söz yüzünden Silahtar Higton’la tutuştuğu düelloda yaralandı.;6
Bu yüzden müziksiz bir halde, yankılı dairemle ve kahrolası avareliğimle yapayalnızdım.;6
Adamın yüzüne karşı gülmemek için kendimi zor tuttum.;2
İşte bu yüzden o yaşlıca beyefendiyi kapımın önünde buluvermek bir hayli şaşırtıcıydı.;6
O yüzden şimdilik unvanım ve mevkim olmadığını farz etmelisin.;6
Yüzü ince bir ter tabakasıyla kaplıydı.;2
Ah, dedi Maer, rahatladığını belli eden bir yüz ifadesiyle.;2
Çok fazla şeye sahipsen insanlar hatalarını yüzüne vurmaya cüret edemezler.;2
Bana pençesini geçiren bu hastalık yüzünden tepem çok çabuk atıyor.;6
Hafifçe gözlerini kırpıştıran Maer’in yüz ifadesi sertleşti.;2
Yüzünü ince bir ter tabakasının kapladığını görebiliyordum.;2
"Tarifimin sonunda Alveron’un yüz ifadesi ekşiydi; yine de minnetle kafa salladı.";2
Sonra gözleri arkamdaki bir yere baktı ve yüzü asıldı.;2
"Yukarı bakan yüzü o karanlıkta bembeyazdı; saçlarıysa gecenin içindeki bir gölge gibiydi.";2
"Kolları ve bacakları çıta gibiydi; solgun yüzü iyice griye çalmıştı.";2
Alveron kokuyu alınca yüzünü ekşitti ve kendini yastıklara gömdü.;2
Yüzümü ekşiterek bir kaşık şeker daha ilave ettim.;2
Alveron’un yüz ifadesi önce öfkeliden iğrenmişe, sonra da sessiz bir huşuya dönüştü.;2
Teşekkürler ekselansları, derken yüz ifademi kontrol altında tutmak için özen gösterdim.;2
  Ses kapı yüzünden boğuk gelse bile bir muhafıza ait değildi.;6
Daha altı yüz yıllık bile değil.;1
Yani altı yüz yıl yeni mi oluyor?;1
Yüzümü ekşitip bir kaşık şeker ekledim, karıştırdım ve Maer’in önünde içip bitirdim.;2
Ben de her zamanki gibi meraklı bir yüz ifadesiyle onu takip ettim.;2
Ne yüzüm kızardı ne de dilim dolandı.;2
Zaten bunu sana yüz yüze söylemeyi yeğlerim.;2
Başını kaldırırken Denna’nın yüzündeki asabiyet kayboldu.;2
Elini nazikçe yanağıma koydu ve ansızın kendi melodramımdan utanarak yüzümün kızardığını hissettim.;2
Oldukça zarif, dedi, sonra da yüz ifademe güldü.;2
Sonra da yüzümdeki ciddi ifadeye bakıp güldü.;2
Denna’nın yüzünde alıngan bir ifade belirdi.;2
O yüzden bu durumla daha sonra ilgileneceğim.;6
  Kızgın bir yüz ifadesiyle bana döndü.;2
Bredon memnuniyetten yoksun bir yüz ifadesiyle sandalyesini masadan geriye itti.;2
Zaten bu yüzden onu oynayabilecek rakip bulmakta zorlanıyorum.;6
Bredon’un yüz ifadesi yumuşadı ve sesi neredeyse yakarır bir tona büründü.;2
Ellerini kaldırıp omuz silkerken yüzünde mutlu bir tebessüm şekillendi.;2
Yüz ifadesi yumuşadı ve elini hafifçe koluma koydu.;2
Gözlerim, deli edecek denli tanıdık yüz hatlarında gezindi.;2
Fakat yüzleri gözlemlemeye meraklıyımdır ve sizinki çok çarpıcı geldi.;2
Onları çiçeği andıran güzel yüzünüzden ayıramıyorum.;2
Adamın yüzüyle elleri buruşuk olup lekelerle kaplıydı ve gri saçları karmakarışıktı.;2
Maer’in yüz ifadesi hala kuşkulu olduğu için yerimden kalktım ve divitimi bıraktım.;2
Bana bakarken Alveron’un yüzünde hala içten bir kaygı mevcuttu.;2
Vaktimizi ata binmeye, yüzmeye, şarkı söylemeye veya akşamlara dek konuşmaya harcıyorduk.;4
Gerred’in yüzünde, zamanla çok iyi tanır olduğum o kaderine mahkum ifade vardı.;2
Gözleri faltaşı gibi açılmış, yüzünün rengi atmıştı.;2
Yüz ifademi ciddi tutarak başımı salladım.;2
Alveron yüz özel kütüphaneye erişmemi sağlayabilirdi.;1
Maer dalgın bir yüz ifadesiyle sakalını sıvazladı.;2
Maalesef, kullandığım teçhizatın yetersizliği yüzünden onu doğru düzgün tamamlayacak fırsatım olmadı.;6
Yüzü aşağıdan gelen bin farklı ışıkla ancak kısmen aydınlanıyordu.;2
O yüzden, yanlış bir şey söyleme riskine gireceğime hiçbir şey demedim.;6
Bu yüzden onu kazanmaya çalışmayıp bu güzel oyunu oynamakla yetiniyordum.;6
Bu yüzden şehirdeyken çalıların arasındaki bir tavşan gibi kolayca hareket edebiliyordum.;6
O da bu yüzden bir fey yaratığı gibi şehri katediyordu.;6
Seni Maer’in bahçelerinde gezintiye götürebilecek yüz adam vardır.;1
Beni bir adım öteden izleyen Denna’nın yüzüne bir tebessüm yayıldı.;2
 Neşeyle şaşkınlık arası bir yüz ifadesiyle başını yana eğdi.;2
Yüz ifadesinin ne anlama geldiğini fark edince durdum.;2
Elleri çimen lekelerinin üzerinde gezinirken biraz yüzünü ekşitti.;2
 Bast’ın yüzünde bir tebessüm belirdi.;2
  Bast’ın yüz ifadesi endişeli bir hal aldı.;2
Yuvarlak kapağa bir parmağıyla dokunurken yüzünü ekşitti.;2
  Boşken iki yüzün üzerinde, dedi Kvothe.;1
Çevreme çabucak bakındıktan sonra binanın ön yüzüne bir sincap gibi çabucak tırmandım.;3
Yüzündeki morluk geçene kadar seni bir odaya yerleştirebiliriz.;2
Hoş bir yüzün var, ama sana doğru düzgün giysiler lazım.;2
Arp kutusu arkasındaki duvara dayalıydı ve yüzünde hevesli bir ifade vardı.;2
İlk şarkımın insanların yüz yıl boyunca dillerinden düşürmeyeceği bir şey olmasını istiyor.;1
Bu yüzden onu ebediyen saklamamı tercih edeceğinden kuşkuluyum.;2
Samimi bir yüz ifadesiyle bana baktı.;2
O yüzden bugün vicdan azabından içim içimi yiyordu.;6
Yüzündeki kaygılı ifade kaybolmayınca ekledim: Bana güvenmiyor musun?;2
Biraz yüzü kızardı, sonra tepkisini gizlemek için saçlarını arkaya doğru savurdu.;2
  Onun heyecan dolu yüzüne baktım.;2
Diğer müzisyenlerin yüz kere işledikleri konuları tekrarlayarak iz bırakamam.;1
Benim onu bölük pörçük yüz farklı parçadan çıkarmam gerekti.;1
Yüzümü görünce o tedirgin heyecanı kayboldu.;2
Utançtan yüzümün kızardığını, bütün vücudumu ter bastığını hissettim.;2
O yüzden böyle konuşuyorsun, değil mi?;6
Üç gömleğimden bahsedince utançtan yüzümü ateş bastı ve öfkem tekrar kabardı.;2
Aşırı kabarık bir koltuğa oturdu ve yüzünü bitkince ovuşturdu.;2
Bu konu yüzünden aklımı kaçırmak üzereyim.;6
Gideceğimiz mekan yüz otuz kilometreden biraz daha uzaktı.;1
Yüz kırık bizi bir ay boyunca idare ederdi.;1
Yüz ifadesi yeni bir kağıt kadar boştu.;2
Üstelik yüzündeki ifadeyi yanlış yorumlamıyorsam bir bayana.;2
Bu yüzden ateş harlanınca yüzü bembeyaz kesildi ve birkaç adım geri gitti.;6
Sonra Marten’le Hespe’nin yüzlerinde de aynı ifadeleri gördüm.;2
Bu yüzden iç geçirdim ve geceyi geçirmek üzere döşeğimi açmaya koyuldum.;6
  Tempi’nin yüzü ifadesizliğini korurken gözleri bir anlığına benimkilerle buluştu.;2
Hespe’nin yüzünde toplanan fırtınayı fark edince hemen söze girdim.;2
Yüz ifadesi her zamanki gibi anlaşılmaz olan Tempi kıpırdandı.;2
Yüzümün kızardığını hissederek daha da utandım.;2
O yüzden de hala sözünü dinliyor.;6
Marten gürültülü salonu maşrapasının üzerinden seyrederken yüzündeki ifade giderek uzaklaşıyordu.;2
Yüzü ocağa dönük olarak oturuyor, kemancının enstrümanını akort etmesini seyrediyordu.;2
Yüzü kızaran kız muzip bir hareketle Tempi’yi omzundan itti.;2
Şahin yüzlü kemancı, çaldığı havayı bitirdi.;2
Bu da bize taramamız gereken dokuz yüz kilometrekarelik bir alan veriyor.;1
 Yüzünde şaşkın bir ifade vardı.;2
Tempi’nin yüzü ifadesiz kalsa bile gözleri daha yoğun bakmaya başladı.;2
Yüzü öfkeden mosmor kesilen Dedan ayağa kalktı.;2
Çıkan ses Dedan’ın yüz ifadesini yumuşattı.;2
Tempi’nin eli yukarıdan savruldu ve Dedan’ın yüzüne alnından çenesine dek çarptı.;2
Avladığımız insanlar akıllıydılar, o yüzden böyle bariz hatalar yapmalarını bekleyemezdik.;6
Kırığı görmek zordur, o yüzden yapraklara bakın.;6
Marten bir kaşını kaldırınca yüzüm kızardı.;2
Fakat gelip yanımızda durduğu yüzünde büsbütün sakin bir ifade vardı.;2
Herhalde yüz ifadem acmasıydı, zira Marten bana özür dilercesine gülümsedi.;2
Yüzünde belirip kaybolan utangaç tebessüm onu çok genç gösterdi.;2
Bu yüzden ortak bir zeminde buluşamıyorduk.;6
Bu yüzden de yemekle beraber başka öyküler geldi.;6
Yüz ifadesi göz açıp kapayıncaya dek şaşkından gücenmişe, oradan da kızgına döndü.;2
Sert bir yüz ifadesiyle ateşin ışığından çıktı.;2
Asıl mesele yüzünü yine ifadesiz tutması ve göz teması kurmaktan kaçınmasıydı.;2
