Cumle;Sinif
Pisalılar  Venedikliler  Cenovalılar kavga ederken bırakıp gemilere binerek karşımıza gelmediler mi?;2
Durun bakayım  tamam aynen şöyle söylemiştiniz:    Sultanın  bindiği atı bile kira ile tutulmuştur ;2
Sonra akşam karanlığında kayığa binerken Kraliçe ile de karşılaştığını hatırladı ;2
Anladım ki korkak bin kere  cesur bir kere ölür ;1
Bu binlerce yıldır olamayan şeyi ben yapacağım ;1
Bana bir vurana ben bin vururum ;1
Altına çekilen ata bindi veya bindirildi ;2
Secdeden kalkmış  atlarına binmiş adamları da yola düştüler ;2
İki bin adımdan  çiftleşen iki sinekten dişiyi bırakır  erkeği karnından vurur ;1
Hiç Kasırga'ya binebilen bir insan kapı önünde bekletilir mi?;2
Dük  dönmüş önüne getirilen atına binmiş  iki atlı kölesi arkasında yürüyüşe geçmişti ;2
Harp kızışmış  coşmuş  binlerce insanı bir anda toz ediyor  ölen öldüğüyle kalıyordu ;1
Binlerce kişi büyük çadırların altında  sabahın altısında ritüel bitene  ateş sönene kadar dururdu ;2
Avcı Murat yüzünden düşen bin parça  ablamların dükkanından içeri girmiş  Ustanız nerede?;1
Her bir cümlesinde bin mana olan  ağırbaşlı  kendini bilen  mümtaz bir kişiydi ;1
Anam  Atlar perilerin bineğidir  bazen ahırda duran atın terlediği görülür  zira periler biner onlara  derdi ;2
Babam  Keliş ağa  hele binme  şöyle birkaç gün alışsın hayvan sana  deyince bizimkinin aklı yattı ;2
Ancak haftalar geçmesine rağmen Keliş ağa ata binemiyor  her denemesinde kendini yerde buluyordu ;2
Ne olursa olsun Şimşek onu üzerine bindirmedi ;2
Kızcağız bir yaprak gibi titreyerek arabaya bindi ;2
Yıllardır masallarda dinlediğim  içinde yüzlerce saray  konak olan şehir  yüzlerce hatta binlerce Ermeni ;1
Üsküdar'dan Vapura bindik ;2
İstanbul’a geldiğim bir yıl olmuştu ama ilk kez vapura binip şehri görüyordum ;2
Yola çıktık  vapura binip Haydarpaşa’ya geçtik ;2
Tam 16 bin lirayı ödüyor ;1
64 bin lirayı ödemek mümkün değil ;1
Bu şirket 11 bin Türk aileyi bunun içinde Alevisi de var Sünnisi de barındırıyor ;1
Allah’a bin şükür bir kişi bile ayrımcılığa uğramamıştır ;1
Kudüs’ün işgal edildiği 1918 yılında da 5 bin kişilik Siyon Birliği İngilizlerin emrindedir ;1
Bu olaylar sonucunda binlerce Musevi Trakya’dan İstanbul’a göçtü ;1
Üzerini değiştirmeden spor kıyafetiyle siyah renkli mercedesine binen Garih  tahminen saat 13 ;2
Biraz ilerde kırmızı renk Ford marka bir otomobile bindiler ;2
Telefon kartı için 150 bin lira eksikti ;1
Eskişehire  oradan Ankara’ya geçiyor  yakalandığı gün Kayseri otobüsüne binerek memleketine doğru yola çıkıyor ;2
Yaptığına bin pişman olacaksın ;1
Beylerden biri ata binmeyi arzu etmezler mi acaba?;2
Seyis yardımcısı hayvanın asabını dizginlerken seyis Winkle’ın ata binmesine yardıma koştu ;2
Salomon Lucas’ta  Ana Cadde’deki Yahudi’de binlerce karnaval elbisesi var ;1
Ertesi gün Nathaniel Pipkin koca Lobbs’u midilli cinsi yaşlı kır atına binmiş  sokağa çıkarken gördü ;2
Geoffrey Manning hazretlerinin malikanesine kadar at binmeye söz vermiştiniz ;2
Yekun birkaç bin sterlin tutuyor dedi kağıtlara göz gezdiren davavekili ;1
Kusura bakmayın  Mister Pickwick dedi Magnus  bu belirsizlik hali sürdükçe ben binemem ;2
Yüreğinizle bin yaşayın siz ;1
O da kendi payına aynı işin üstesinden geldikten sonra arabaya bindiler ;2
Yüzlerinden düşen bin parçaydı ;1
Arabaya binip ederken omuzuna biraz fazla yaslandığını fark etmedim değil birkaç kere ;2
Mister Pickwick bunu dedikten sonra o sırada gelmiş bekleyen arabaya bindi ;2
Söyle  ben gelip tepesine binmeden ayağa kalkmaya yeltenmesin ;2
İnerken aşağı salıyormuş  bindikten sonra ardından yukarı çekiyormuş ;2
Beş binin binini bana bırakıyor diye devam etti tamirci ;1
Benim bin sterlin çoktan avukatlarıma harcandı gitti ;1
Hiç vakit kaybetmeden Arabella’nın bin sterlinine sahip olman gerekiyor ;1
 Biniyor musunuz  binmiyor musunuz?;2
Bin sterlin çok az bir para  Mister Pickwick ;1
Kendi bin sterlinini su gibi harcamış olduğunu hatırlayacak kadar uyanmıştı ;1
Onun haykırışları arasında  Şeytan Adası'na götürülmek üzere gemiye bindirilir ;2
Kıyamet’ten bin yıl önce  Valyria’dan Eski Şehir’e getirildikleri söylenirdi ;1
Deniz ve gökyüzü binlerce yıldır savaş halindeydi ;1
Çakıltaşı’nda binlerce balıkçı yaşıyordu ;1
Bin farklı adamla yattım ;1
"Nakış babasını gösteriyordu; Prens Oberyn bir kum atına binmiş ve kırmızı bir zırh kuşanmıştı  gülümsüyordu ";2
Atına binerken  Sör Creighton’dan ve Sör Illifer’dan sessizce özür diledi ;2
Bu  Kara Kale’yi son görüşüm olabilir  diye düşündü Sam kısrağına binerken ;2
"Ona Tuzlu diyorlardı; gemiye Üç Dişli Mızrak’ın ağzının yakınlarındaki Tuzçukuru’nda bindiği için ";2
Binlerce deniz kuşu aynı anda havalandı ve Arya  Denyo’nun güldüğünü görene dek kaskatı kaldı ;1
"Ve ileride üçüncü bir köprü vardı; binlerce boyalı gözle aşağı bakıyor ve tekneyi izliyordu ";1
Bir gemiye binmek üzere Eski Şehir’e gidiyor ;2
En iyisi Lord Hightower’a bir kuzgun gönderin ve amcanızın o gemiye binmesini engellemesini isteyin ;2
"Kraliçemiz haklı; Garth bir gemiye binmeden önce Lord Leyton’a mektup yazmalısın ";2
Hadım  tuhaf sorulara cevap vermek için kalmaktansa  Tyrion’la birlikte gemiye binmiş olabilirdi ;2
Ejderha Kayası Prensi atına binmiş  siyah miğferini takmış ve felaketine doğru gitmişti ;2
Brienne de atına bindi ve arkasına baktı ;2
Martı Kasabası’na ya da Beyaz Liman’a giden bir gemiye binmek daha iyi olurdu ;2
En üst kata çıkmak için asansöre binmeleri gerekiyordu ;2
Otobüse binmek için erkenden yola koyulmuştu ;2
Eğer Kokuşmuş Ördek’ten bir şey çıkmazsa bir gemiye bineceğim  diye karar verdi ;2
Bütün tanrıların huzurunda  sizi bir gemiye bindirip Tarth’a geri göndermeliyim ;2
Gece geç saatlerde vapura binmek çok tehlikeliydi ;2
Braavoslular at yerine teknelere biniyor ;2
Beni Altın Ejderha’ya bindirip kuzeye gönderdi ;2
Savaşa gönderilen askerlerin sayısı bindi ;1
Sonra Çiçek Şövalyesi atına bindi ve diğer adamların hepsini utandırdı ;2
Bu sayı  Stannis’le ve birkaç bin ıskartayla uğraşmaya yeter de artar ;1
Tüm okula dağıtmak için biner tane kitap sipariş etmişti ;1
Her mücadeleden sonra yüzlerce  binlerce karga  düşmüşlerin bedenlerini yemek için gelir ;1
Binlerce ses ağabeyinin adını bağırırken  Aeron’ın duyduğu tek şey paslı bir menteşenin çığlığıydı ;1
 Bin artık şu arabaya  neden bekliyorsun? ;2
Benim bildiğim  Dayneler’in binlerce yıldır Oakheartlar’ı öldürdüğü ;1
Valyrialılar savaş sırasında binlerce köle aldılar ;1
İstidacı Lordlar’ın her biri bin adam getirmişti ve altı lord vardı ;1
Royce’un bu güzel yüze baktığından şüphem yok ama bu binlerce yüzden biriydi ;1
Malzemeleri yukarı çıkarmak için kullanılan sepetlere binebilir ya da kayaya oyulmuş tutamaçları kullanarak kaleye tırmanabilirlerdi ;2
Symond Templeton boğazını temizledi ve  Bu dağın dibinde her birimizin biner adamı var Serçeparmak  dedi ;1
Yakın zamanda kısrağa binmesi için bir yol bulacağım  bundan emin olabilirsin ;2
Seni o gemiye bindireceğim ;2
O sokağa ulaşabilmem için otobüse binmem gerektiğini söyledi ;2
Ben eşeğe bindim ve dağları  ovaları onunla beraber gezdim ;2
Cersei’nin Robert Baratheon’la evlendiği gün  binlerce insan onları alkışlamak için bir araya gelmişti ;1
Anne için binlerce yıldız göz kırpıyordu  bir o kadar da Bakire için ;1
Açları doyurabilecek ve bin yeni sept inşa edebilecek kadar altın ;1
Küçük kraliçe teknelere binmeye de bayılıyordu  Karasu Nehri boyunca bir yukarı bir aşağı amaçsızca dolaşıyordu ;2
Bin gemi yelken açsa  sadece üç yüzü Dar Deniz’in karşısına ulaşabilir ;1
Kuzenim bin kişiyi barındıramaz  dedi Jaime  Güçlüdomuz’a ;1
Jaime reddettiğinde  kadın gülmüş ve ona binlerce kez yalan söylediğiyle ilgili böbürlenmişti ;1
Yeni aldığı arabasına binmeyi dört gözle bekliyordu ;2
Günbatımını seyretmek üzere bisiklete binerek yola çıktı ;2
Hiçbir lord bin gemiyi birden komuta etmez ;1
Bin geminin yarısı hala beş yüz gemi eder lordum  dedi Aurane Su  Orton Merryweather’a ;1
Bin gemi onca yolu hiç görünmeden nasıl katedebilir?;1
Bin fersahlık bir kıyı şeridi  sizin ve size bağlı sancak beylerinin hakimiyetinde ;1
Üstümüze bin gemi daha mı geliyor?;1
Tywin Lannister gibi bir adam bin yılda bir gelir  dedi Genna’nın kocası ;1
Binlercesi katledildi ama bir o kadarı hala diyarda dolaşıyordu ;1
Taksiye bindiğinde telefonunu evde unuttuğunu fark etti ;2
Adamın oğulları  Talea ve Brea’nın tekneye binmesine yardım etti ;2
Eve dönmek için tekneye bindiklerinde  Cat her seferinde balık ve tuz kokuyordu ;2
"Cat; Lys’ten  Eski Şehir’den ve Ibben Limanı’ndan gelen gemilere bindi ve istiridyelerini gemilerin güvertelerinde sattı ";2
Yağmurdan korunmak için arabasına binerek hızlıca uzaklaştı ;2
Hangi trene bineceğimi bilmiyordum ;2
Arianne  On Bin Gemi’nin ya da Kraliçe Nymeria’nın Aşkları’nın bir nüshası için çok şey verirdi ;1
Arianne ve Tyene okumayı birlikte öğrenmişlerdi  ata binmeyi birlikte öğrenmişlerdi  dans etmeyi birlikte öğrenmişlerdi ;2
eğer senin aptallığın bir savaşa dönüşürse  binlerce insan çok yakında ona katılacak ;1
Mya’nın katırları bu yaşlı dağı binlerce kez inip çıktı ;1
Gelin lordum  sizi katırınıza bindirelim ;2
Herkes katırlara bindiğinde  Mya sert bir emir verdi ve Gök ün silahlı askerleri kapıları açtı ;2
Altında bir at vardı ama ata bindiğini hatırlamıyordu ;2
Hava vızıltıyla doldu  taht odasında binlerce arı dolaşıyordu sanki ;1
Yükseklik korkusu yüzünden uçağa binmeyi hiç istemiyordu ;2
O binlerce insanın gözlerinin önünde ölmek zorunda  aksi takdirde ölü kalmaz ;1
Bizim eve geleceğin zaman otobüse biner öyle gelirsin ;2
Bunlar kadim kalenin duvarlarına tünemiş  kara kara düşünen binlerce yaratık heykelinden sadece ikisiydi ;1
Arya gerçek bir atın sırtında yolculuk etmeyi tercih ederdi ama eşeğe binmek arabalara tıkılmaktan iyiydi ;2
Arya tahta kılıcını oğlanın bindiği eşeğin sağrısına indirdi ;2
Çürükleri yüzünden eşeğe binemiyordu ;2
Bugün turnuvada ata bineceğim ;2
Ama ata binmek istiyorum ;2
Annem ata binebileceğimi söyledi ;2
Yaverler prensin ata binmesine yardım etti ;2
Yaverler tekrar atına binmesi için prense yardım ediyordu ;2
Kraliçe de savunmamızı güçlendirmek için bin adam tahsis etti ;1
On bin kavanoz çılgınateş Kral Toprakları’nı kızgın küle çevirmeye yeterdi ;1
Arabaya binmek istiyorum ama kapıdan çıkmama izin verilmiyor ;2
 Sen arabaya bin  ben otobüs ile geleceğim  dedi ;2
Kızıl Kılıç gökyüzünü binlerce yıldızla paylaşıyordu ;1
Altın pelerinliler kılıçlarını kaldırıp atlarına bindi ;2
Eski Valyria parşömenleri  binlerce yıl önceki üstatlar tarafından tutulmuş mevsim kayıtları ;1
Kızaklara zincirlenmiş binlerce adam taş ocaklarından yük çekerken ölmüştü ;1
Üç bin yaşındaki büvet ağaçları yay ve sal yapımında kullanılmak için kesilmişti ;1
Belki de o gemiye sen binersin ;2
Bu altı adamın da onunla birlikte gemiye bindiğinden emin olun ;2
Gemiye kürekçi olarak bineceklermiş ;2
Atına binip tek başına eve gidebilmeyi dileyerek ağaçların arasında kayboldu ;2
Bir gemiye binmek çok daha akıllıca olurdu  yolda daha fazla adam bulacağımız yok ;2
Akıllı bir adam gemiye binerdi ama ben ;2
Otobüse erkenden bindiği için okula geç kalmamıştı ;2
Aklından geçenlere rağmen ata bindi ;2
İnsanları  Boğulmuş Tanrı yaratır  demişti Kral Urron Kırmıziel binlerce yıl önce ;1
Atına bindiği an hatırlamıştı bunu ;2
Amcası tek kelime etmeden mataranın ağzını kapatıp atına bindi ;2
Bundan bin yıl önce Nehir Kralı’nın oğulları burada katledilmişti ;1
Khalasar’ını bir araya toplayıp gümüş atına bindi ;2
Dany  şövalye atına binerken yüzünün aldığı acı dolu ifadeyi görebiliyordu ;2
Atlar yabancıların bindiği hayvanların yanında cüce gibi kalıyordu ;2
Jon atına bindi  hayvanı çevirdi ve koşturmaya başladı ;2
Sam  fazla büyük cübbesinin başlığını kafasına geçirdi ve tuhaf hareketlerle atına bindi ;2
Hepimize yetecek kadar çatı yok zaten  dedi Jon  arabasına bindi ;2
 Hemen şu bileti al ve uçağa bin   dedi telaşla ;2
Bu fırtınada uçağa binip gidemezsin ;2
Arabaya binmesine yardım eden eli kabul etti ;2
Eski bir pelerin giyip babasının atına binmiş bir çocuk ;2
Hadım  Tyrion’ın ata binmesine yardım etti ;2
Bir ata binemeyecek kadar şişmandı ;2
Walderlar’ın ata bindiğini gördü ;2
"Adamın neden ata binemediği apaçık ortadaydı; bütün atlardan daha ağır görünüyordu ";2
Sağa dön ve gördüğün ilk otobüse bin ;2
Kale kapısından dışarı çıktıklarında Bran arabaya biniyordu ;2
Elli bin Dorne askerinin kuduz bir köpekten daha kıymetli olduğunu söyleyecek biridir babam ;1
Sansa da ata binebiliyordu ama sadece avluda ;2
Kalkış uyarısından sonra yolcular aceleyle vapura bindiler ;2
On bin kavanoz hatalı madde istemiyoruz  bir kavanoz hatalı madde bile istemiyoruz ;1
İlk kez uçağa binmek onun için heyecan vericiydi ;2
Tyrion pelerinini arabanın içine attı ve Timett’in yardımıyla arabaya bindi ;2
Tyrion Lannister tekrar arabasına bindiğinde perdeleri örttü ve dirseğinin altına bir minder koydu ;2
Ben de ata binmek istiyorum  dedi Dansçı salondan çıkarılırken ;2
Hem senden daha iyi ata biniyorum ;2
Hayır sen binmiyorsun  şimdi sessiz ol  dedi Bran kardeşine ;2
Uçağa binip havalimanına varana kadar epey zaman geçti ;2
Atına ilk binen Catelyn oldu  kafilenin önüne geçip sürüş ritmini belirledi ;2
Onu ata binerken gördüm  çok keyifliydi ;2
Yüzlerce  belki de binlerce insan müsabakayı izlemek için toplanmıştı ;1
Yağmurlu havada gemiye bindiği için hasta olmuştu ;2
Aşağıdaki avluda  zırhlı bir ata binen miğferli bir süvari belirdi ;2
Delikanlı iyi havalarda bile doğru düzgün ata binemiyordu ;2
Bir gemiye binmeyeli epey zaman oldu  diye itiraf etti Theon ;2
Benim atıma binersin o zaman ;2
Yaver  Lord Balon’ın ahırındaki küçük atlardan birine biniyordu ama Theon’ın atı için canavar denebilirdi ;2
Biz de gelecek miyiz?  diye sordu Esgred  Theon atına binerken ;2
Kafesli tavanının binlerce renkli kuşa ev sahipliği yaptığı kubbeli yapının içindeki pazar yerinden geçtiler ;1
Yüzlerce  binlerce yıl geçiyor ve bir insan birkaç yaz ve kıştan başka ne görüyor?;1
İğdiş edilmiş ata binip ahırdan çıktığında çatıların üzerinde uçuşan müzik sesini duydu ;2
Ahırlar bin atı barındıracak genişlikteydi ;1
Mızraklı süvariler siyah beyaz çizgili atlara biniyordu ;2
Ama Fırtına Burnu dayanıyordu  benzersiz kale asırlardır  bin yıldır dayanıyordu ;1
Ağabeyini yolda görene dek atına binmeye niyeti yoktu ;2
Beş bin kişiler desem cömert davranmış olurum  morina balıkları  soğan şövalyeleri ve paralı askerler ;1
Catelyn ve Renly binlerce adamın beklediği kamp alanına birlikte döndüler ;1
Binlerce iyi adam uykularında katledildi  kılıçlarını çekip kendilerini savunacak şansları bile olmadı ;1
Binlerce fersah yol geldim ve ne uğruna?;1
Kendime binlerce kez bunu neden yaptıklarını sordum ;1
"Catelyn atına bindi ve korumaları yanındaki yerlerini aldılar; Sör Wendel solunda  Ser Perwyn Frey sağında ";2
İlerleyin  diye emretti Catelyn bütün adamları atlarına bindiğinde ;2
Sayıları binleri buluyor  bizse Yarımel geldiğinde ancak üç yüz kişi olacağız ;1
Gökyüzünde ay yoktu ama başının üstünde binlerce yıldız pırıldıyordu ;1
Hayalet  ormanın çocuklarının binlerce yıldır burada gömülü olan kadim silahlarını mı bulmuştu?;1
Depoda bulunan ürünler asansöre bindirilip taşındı ;2
Ozanların binlerce yıl boyunca anlatacağı bir zafer kazanmak niyetindeyim ;1
Brienne tekrar atına binmesine yardım etti ve hemen yola koyuldular ;2
Leydi Mormont binlerce büyükbaş hayvana el koymuştu ve sürüyü Nehirova’ya getiriyordu ;1
Çocukların bu yaşta vapura binmeleri tehlikelidir ;2
 İzin verin sizinle birlikte gemiye binelim ve o şarabı aramaya gidelim ;2
 Asansöre bin ve ikinci kata çık  dedi ;2
Bin Tahtlı Salon’dan dönerken pazar yerinden geçtik  dedi Sör Jorah’a ;1
Kestane rengi bir kısrağa binen Sansa Stark kralın hemen yanındaydı ;2
Göz açıp kapayıncaya kadar binlerce ses aynı şarkıyı söylemeye başladı ;1
Sancaktarı benekli gri bir ata biniyordu ;2
Otobüse bindiğimde çok fazla gürültü vardı ;2
Bu duvarlara saldırırsak binlerce adam ölecek  dedi yaşlı Lord Estermont  kralın anne tarafından büyükbabasıydı ;1
Zırhımı giymiş  atıma binmiş olmalıydım halbuki  Renly’nin şafakta saldıracağını biliyordum ;2
Taarruz  başarı garantisi olmadığı halde binlerce adamın ölümüne mal olur ;1
Toplantıya geç kalmamak için erken saatlerde trene bin ;2
En son ne zaman ata bindiğimi hatırlamıyordum ;2
Edmure atına bindi  parlak zırhının ve uçuşan pelerininin altındaki bedeninin her noktası bir lorda aitti ;2
Bin yıldır biliyoruz ve bunca zaman seni bekledik ;1
On bin köle  gümüş atının yanında rüzgar gibi koşarken kanlı ellerini havaya kaldırdı ;1
Sonra küçük atını sala bindirmesinin zamanı geldi ;2
Mızrağını atıp kaçmaya başlayan ilk adamı binlercesi takip edecek ;1
Son görüştüğümüzde bana verdiğiniz en iyi tahminden binlerce kavanoz öndesiniz ;1
Rivayete göre bundan bin yıl önce Boltonlar  Kışyarı’nın önünde diz çöktüğünde bütün bunlar sona ermişti ;1
Ama bin fersah uzakta  Lannisterlar’ın pençesindeydi ;1
Yalnız başına arabaya binmekten nefret eder;2
Bisiklete binerken düşüp dizini yaralamış ;2
Mimar Brandon  Kahramanlar Çağı’nda yaşamıştı  Bael’den binlerce yıl önce ;1
Beş bin adam olduklarını duymuştu Sansa  neredeyse şehirdeki altın pelerinlilerin sayısı kadar ;1
Sonra  binlerce metre yükseklikten bir buz nehrine baktığını fark etti ;1
"Vadide adamlar vardı  şimdi görüyordu; çok adam  binlerce  büyük bir ordu ";1
Binlerce yemek ateşinden siyah duman filizleri yükseliyordu ;1
Köpeği market arabasına bindirdiğine inanamadım ;2
Ve mamutlara binmiş devler gördüm ;2
Teker teker eyerlerine binip atlarını ev yoluna doğru çevirdiler ;2
Tyrion  kafatasının içinde yürüyen bin zırhlı piyadeyle birlikte Kral Eli Kulesi’ne döndü ;1
Valyria çeliğinden dövülmüştü  binlerce katın haresiyle mühürlenmişti  o kadar keskindi ki dokunmaya korkardım ;1
Senin Derinorman Kalesi’ni alabilmen için bin adam ve bir ay dönümü gerekti ;1
Binlerce fersah alandaki her adam senin düşmanın artık  sakın hata yapma ;1
Sör Meryn Trant  Joffrey’nin binebilmesi için kan kırmızısı doru atı tutuyordu ;2
Şehrin diğer ucunda  binlerce insan Yüce Baelor Septi’nde toplanmıştı ve onlar da ilahiler söylüyorlardı ;1
Onca civciv birlikte arabanın bagajına bindi ;2
Borazanların sesi bir an sonra binlerce adamın kükremeye benzer bağırışıyla boğuldu ;1
Nehrin güney kıyısında  şövalyeler atlarını gökelere bindiriyordu ;2
O halde şu kahrolası atına bin ;2
Sör Mandon  Tyrion’ın atına binmesine yardım etti ;2
Bir şövalye eyerine bindi  miğfersiz  diğerlerine katılmak için atını sürdü ;2
Şimdi şarkı söyleyemezdi ona  burada  gökyüzü alevlerle doluyken ve yüzlerce  binlerce adam ölürken ;1
Yeni yıkanmış ipekler bile teninde binlerce böcek yürüyormuş gibi hissettiriyor ;1
Hepimizin gemilerini toplarsak  insanların hepsi belki binerler ;2
Majesteleri  binlerce kez özür dilerim ;1
Batan gemiden herkes kayıklara binmek için birbirini ezip geçiyordu ;2
Yüzün tanıdık geliyor ama Lannis Limanı’nda yüzlerce adam vardı ve Pyke’ta binlerce ;1
Sorun değil  diye düşündü eyerine binerken ;2
Hayatında ilk kez tekneye bindiğinde 20 yaşını aşmıştı ;2
En az bin kişi  belki de bunun iki katı ;1
Daha üç bağar görmemişken onu bir trene bindirip geri gönderdi ;2
Bu bir rüya olmalıydı çünkü Lord Tywin binlerce fersah uzaktaydı  batıda Robb Stark’la savaşıyordu ;1
İki kişinin aynı ata binmesi söz konusu değildi ;2
İnsanlar çığlıklar atıp ortalığı karıştırırken çocuklarını arabaya bindirdi ;2
Hemen onları gelen ilk trene bindir ;2
Bebek köpeğin üstüne binmeye çalışırken annesi onu aldı ;2
2700 kişilik mürettebat arasında 180 hekim ve eczacı birlikte gemiye bindi ;2
